Data;Hora;Localização;Atividade
25/01/2021;17:00;Fazenda Cobrape;Conclusão da instalação dos medidores de vazão nas intervenções JAVAES - 009 e JAVAES - 010.
21/01/2021;16:00;Fundação Bradesco;Conclusão da instalação do medidor de vazão na intervenção JAVAES - 001.
15/01/2021;18:00;Fazenda Imperador;Conclusão da instalação dos medidores de vazão nas intervenções JAVAES - 022, JAVAES - 023, JAVAES - 024 E JAVAES - 025.
26/01/2021;17:00;Videoconferência;Reunião de alinhamento da equipe técnica do IAC com a CAS Tecnologia.
27/01/2021;21:00;Videoconferência;Reunião interna equipe IAC.
03/02/2021;09:00;Videoconferência;Reunião de Kick-off do projeto "Monitoramento Remoto de Captações da União", com equipes IAC/UFT e ANA.
08/02/2021;21:00;Videoconferência;Reunião de alinhamento interno entre equipes de TI e Engenharia.
06/02/2021;14:00;Fazenda Boa Vista;Conclusão da instalação do medidor de vazão na intervenção JAVAES - 011.
06/02/2021;16:00;Fazenda Quatro Irmãos;Conclusão da instalação do medidor de vazão na intervenção JAVAES - 012.
06/02/2021;18:00;Fazenda Dois Rios;Conclusão da instalação dos medidores de vazão nas intervenções JAVAES - 017 e JAVAES - 018.
